,County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
37937,31 - Placer,12/13/19,In Review,20331000,10,Greater Sacramento Counties
37938,31 - Placer,12/13/19,Pending Construction,4623618,6,Greater Sacramento Counties
37939,31 - Placer,12/13/19,In Construction,84805879,36,Greater Sacramento Counties
37940,31 - Placer,12/13/19,In Closure,6995713,13,Greater Sacramento Counties
37941,32 - Plumas,12/13/19,In Review,0,0,NA
37942,32 - Plumas,12/13/19,Pending Construction,0,0,NA
37943,32 - Plumas,12/13/19,In Construction,328879,7,NA
37944,32 - Plumas,12/13/19,In Closure,0,0,NA
37945,33 - Riverside,12/13/19,In Review,299723042,60,NA
37946,33 - Riverside,12/13/19,Pending Construction,51447005,45,NA
37947,33 - Riverside,12/13/19,In Construction,336674255.7,135,NA
37948,33 - Riverside,12/13/19,In Closure,15395227,19,NA
37949,34 - Sacramento,12/13/19,In Review,609236352,52,Greater Sacramento Counties
37950,34 - Sacramento,12/13/19,Pending Construction,97943516,62,Greater Sacramento Counties
37951,34 - Sacramento,12/13/19,In Construction,310234387,151,Greater Sacramento Counties
37952,34 - Sacramento,12/13/19,In Closure,6934831,14,Greater Sacramento Counties
37953,35 - San Benito,12/13/19,In Review,820000,4,NA
37954,35 - San Benito,12/13/19,Pending Construction,75000,1,NA
37955,35 - San Benito,12/13/19,In Construction,265499,2,NA
37956,35 - San Benito,12/13/19,In Closure,0,0,NA
37957,36 - San Bernardino,12/13/19,In Review,66207811,52,NA
37958,36 - San Bernardino,12/13/19,Pending Construction,17026855.44,54,NA
37959,36 - San Bernardino,12/13/19,In Construction,823945879.5,156,NA
37960,36 - San Bernardino,12/13/19,In Closure,21423586,21,NA
37961,37 - San Diego,12/13/19,In Review,655190858.7,91,NA
37962,37 - San Diego,12/13/19,Pending Construction,43610997.4,106,NA
37963,37 - San Diego,12/13/19,In Construction,204206327.6,190,NA
37964,37 - San Diego,12/13/19,In Closure,34759854.11,60,NA
37965,38 - San Francisco,12/13/19,In Review,52885798,35,Bay Area Counties
37966,38 - San Francisco,12/13/19,Pending Construction,59734766,60,Bay Area Counties
37967,38 - San Francisco,12/13/19,In Construction,596679803,115,Bay Area Counties
37968,38 - San Francisco,12/13/19,In Closure,6587643,14,Bay Area Counties
37969,39 - San Joaquin,12/13/19,In Review,27899969,18,NA
37970,39 - San Joaquin,12/13/19,Pending Construction,9009526,14,NA
37971,39 - San Joaquin,12/13/19,In Construction,36381644,35,NA
37972,39 - San Joaquin,12/13/19,In Closure,28278909,11,NA
37973,40 - San Luis Obispo,12/13/19,In Review,480852,2,NA
37974,40 - San Luis Obispo,12/13/19,Pending Construction,3453653,13,NA
37975,40 - San Luis Obispo,12/13/19,In Construction,24436567,22,NA
37976,40 - San Luis Obispo,12/13/19,In Closure,1788756,10,NA
37977,41 - San Mateo,12/13/19,In Review,13769237,14,Bay Area Counties
37978,41 - San Mateo,12/13/19,Pending Construction,27381798,27,Bay Area Counties
37979,41 - San Mateo,12/13/19,In Construction,52769692,69,Bay Area Counties
37980,41 - San Mateo,12/13/19,In Closure,14978351,11,Bay Area Counties
37981,42 - Santa Barbara,12/13/19,In Review,3262930,16,NA
37982,42 - Santa Barbara,12/13/19,Pending Construction,5027920,18,NA
37983,42 - Santa Barbara,12/13/19,In Construction,57056580,39,NA
37984,42 - Santa Barbara,12/13/19,In Closure,94066585.15,6,NA
37985,43 - Santa Clara,12/13/19,In Review,415137439,65,Bay Area Counties
37986,43 - Santa Clara,12/13/19,Pending Construction,47040346.86,75,Bay Area Counties
37987,43 - Santa Clara,12/13/19,In Construction,729146181.5,174,Bay Area Counties
37988,43 - Santa Clara,12/13/19,In Closure,283612500.4,39,Bay Area Counties
37989,44 - Santa Cruz,12/13/19,In Review,2867710,7,NA
37990,44 - Santa Cruz,12/13/19,Pending Construction,990754,7,NA
37991,44 - Santa Cruz,12/13/19,In Construction,23214581,23,NA
37992,44 - Santa Cruz,12/13/19,In Closure,1173737,3,NA
37993,45 - Shasta,12/13/19,In Review,1176243,6,NA
37994,45 - Shasta,12/13/19,Pending Construction,7271375,10,NA
37995,45 - Shasta,12/13/19,In Construction,19978678.17,20,NA
37996,45 - Shasta,12/13/19,In Closure,36361,1,NA
37997,46 - Sierra,12/13/19,In Review,0,0,NA
37998,46 - Sierra,12/13/19,Pending Construction,85500,1,NA
37999,46 - Sierra,12/13/19,In Construction,148000,1,NA
38000,46 - Sierra,12/13/19,In Closure,0,0,NA
38001,47 - Siskiyou,12/13/19,In Review,1234338,2,NA
38002,47 - Siskiyou,12/13/19,Pending Construction,1278157,6,NA
38003,47 - Siskiyou,12/13/19,In Construction,5764179,6,NA
38004,47 - Siskiyou,12/13/19,In Closure,24634,1,NA
38005,48 - Solano,12/13/19,In Review,813336,8,Bay Area Counties
38006,48 - Solano,12/13/19,Pending Construction,5349134,21,Bay Area Counties
38007,48 - Solano,12/13/19,In Construction,22579823,46,Bay Area Counties
38008,48 - Solano,12/13/19,In Closure,82264158,12,Bay Area Counties
38009,49 - Sonoma,12/13/19,In Review,123077459.9,32,Bay Area Counties
38010,49 - Sonoma,12/13/19,Pending Construction,11051677.87,13,Bay Area Counties
38011,49 - Sonoma,12/13/19,In Construction,51055958.19,57,Bay Area Counties
38012,49 - Sonoma,12/13/19,In Closure,4273280,8,Bay Area Counties
38013,50 - Stanislaus,12/13/19,In Review,3378786,6,NA
38014,50 - Stanislaus,12/13/19,Pending Construction,4699174,24,NA
38015,50 - Stanislaus,12/13/19,In Construction,23116947,33,NA
38016,50 - Stanislaus,12/13/19,In Closure,1986839,11,NA
38017,51 - Sutter,12/13/19,In Review,0,0,NA
38018,51 - Sutter,12/13/19,Pending Construction,15000,1,NA
38019,51 - Sutter,12/13/19,In Construction,232525,4,NA
38020,51 - Sutter,12/13/19,In Closure,108985,1,NA
38021,52 - Tehama,12/13/19,In Review,310000,2,NA
38022,52 - Tehama,12/13/19,Pending Construction,7500,1,NA
38023,52 - Tehama,12/13/19,In Construction,2351797,8,NA
38024,52 - Tehama,12/13/19,In Closure,0,0,NA
38025,53 - Trinity,12/13/19,In Review,750000,1,NA
38026,53 - Trinity,12/13/19,Pending Construction,140000,1,NA
38027,53 - Trinity,12/13/19,In Construction,0,0,NA
38028,53 - Trinity,12/13/19,In Closure,0,0,NA
38029,54 - Tulare,12/13/19,In Review,1555000,8,NA
38030,54 - Tulare,12/13/19,Pending Construction,590246,9,NA
38031,54 - Tulare,12/13/19,In Construction,69563352,26,NA
38032,54 - Tulare,12/13/19,In Closure,1529255,5,NA
38033,55 - Tuolumne,12/13/19,In Review,0,0,NA
38034,55 - Tuolumne,12/13/19,Pending Construction,0,0,NA
38035,55 - Tuolumne,12/13/19,In Construction,0,0,NA
38036,55 - Tuolumne,12/13/19,In Closure,0,0,NA
38037,56 - Ventura,12/13/19,In Review,11414558,11,Greater Los Angeles Counties
38038,56 - Ventura,12/13/19,Pending Construction,15870383,24,Greater Los Angeles Counties
38039,56 - Ventura,12/13/19,In Construction,211359533.5,60,Greater Los Angeles Counties
38040,56 - Ventura,12/13/19,In Closure,4444102,7,Greater Los Angeles Counties
38041,57 - Yolo,12/13/19,In Review,50499000,10,Greater Sacramento Counties
38042,57 - Yolo,12/13/19,Pending Construction,3963505,5,Greater Sacramento Counties
38043,57 - Yolo,12/13/19,In Construction,21478478,15,Greater Sacramento Counties
38044,57 - Yolo,12/13/19,In Closure,0,0,Greater Sacramento Counties
38045,58 - Yuba,12/13/19,In Review,1230000,1,NA
38046,58 - Yuba,12/13/19,Pending Construction,1405000,1,NA
38047,58 - Yuba,12/13/19,In Construction,6569089,9,NA
38048,58 - Yuba,12/13/19,In Closure,0,0,NA
38049,01 - Alameda,12/24/19,In Review,54532808,37,Bay Area Counties
38050,01 - Alameda,12/24/19,Pending Construction,23305627.45,48,Bay Area Counties
38051,01 - Alameda,12/24/19,In Construction,471473553.9,139,Bay Area Counties
38052,01 - Alameda,12/24/19,In Closure,38300114,14,Bay Area Counties
38053,02 - Alpine,12/24/19,In Review,0,0,NA
38054,02 - Alpine,12/24/19,Pending Construction,0,0,NA
38055,02 - Alpine,12/24/19,In Construction,0,0,NA
38056,02 - Alpine,12/24/19,In Closure,0,0,NA
38057,03 - Amador,12/24/19,In Review,1.00E+05,2,NA
38058,03 - Amador,12/24/19,Pending Construction,225000,1,NA
38059,03 - Amador,12/24/19,In Construction,556980,7,NA
38060,03 - Amador,12/24/19,In Closure,2806313,1,NA
38061,04 - Butte,12/24/19,In Review,201000,2,NA
38062,04 - Butte,12/24/19,Pending Construction,309300,4,NA
38063,04 - Butte,12/24/19,In Construction,118216510,18,NA
38064,04 - Butte,12/24/19,In Closure,181585,1,NA
38065,05 - Calaveras,12/24/19,In Review,0,0,NA
38066,05 - Calaveras,12/24/19,Pending Construction,678288,4,NA
38067,05 - Calaveras,12/24/19,In Construction,702711,1,NA
38068,05 - Calaveras,12/24/19,In Closure,23500,1,NA
38069,06 - Colusa,12/24/19,In Review,0,0,NA
38070,06 - Colusa,12/24/19,Pending Construction,50000,1,NA
38071,06 - Colusa,12/24/19,In Construction,0,0,NA
38072,06 - Colusa,12/24/19,In Closure,0,0,NA
38073,07 - Contra Costa,12/24/19,In Review,33872383,24,Bay Area Counties
38074,07 - Contra Costa,12/24/19,Pending Construction,11481437,24,Bay Area Counties
38075,07 - Contra Costa,12/24/19,In Construction,79595602,65,Bay Area Counties
38076,07 - Contra Costa,12/24/19,In Closure,6945346,15,Bay Area Counties
38077,08 - Del Norte,12/24/19,In Review,2810000,2,NA
38078,08 - Del Norte,12/24/19,Pending Construction,0,0,NA
38079,08 - Del Norte,12/24/19,In Construction,3613340,4,NA
38080,08 - Del Norte,12/24/19,In Closure,70957,2,NA
38081,09 - El Dorado,12/24/19,In Review,141450,2,Greater Sacramento Counties
38082,09 - El Dorado,12/24/19,Pending Construction,7932397,5,Greater Sacramento Counties
38083,09 - El Dorado,12/24/19,In Construction,9451511,18,Greater Sacramento Counties
38084,09 - El Dorado,12/24/19,In Closure,0,0,Greater Sacramento Counties
38085,10 - Fresno,12/24/19,In Review,113567274,40,NA
38086,10 - Fresno,12/24/19,Pending Construction,14060688,28,NA
38087,10 - Fresno,12/24/19,In Construction,72111752,73,NA
38088,10 - Fresno,12/24/19,In Closure,5452355,9,NA
38089,11 - Glenn,12/24/19,In Review,0,0,NA
38090,11 - Glenn,12/24/19,Pending Construction,13002075,3,NA
38091,11 - Glenn,12/24/19,In Construction,0,0,NA
38092,11 - Glenn,12/24/19,In Closure,0,0,NA
38093,12 - Humboldt,12/24/19,In Review,3250150,3,NA
38094,12 - Humboldt,12/24/19,Pending Construction,1472100,3,NA
38095,12 - Humboldt,12/24/19,In Construction,99992853,8,NA
38096,12 - Humboldt,12/24/19,In Closure,105538,1,NA
38097,13 - Imperial,12/24/19,In Review,9142790,5,NA
38098,13 - Imperial,12/24/19,Pending Construction,12654000,9,NA
38099,13 - Imperial,12/24/19,In Construction,29983700,6,NA
38100,13 - Imperial,12/24/19,In Closure,0,0,NA
38101,14 - Inyo,12/24/19,In Review,0,0,NA
38102,14 - Inyo,12/24/19,Pending Construction,0,0,NA
38103,14 - Inyo,12/24/19,In Construction,1446200,3,NA
38104,14 - Inyo,12/24/19,In Closure,0,0,NA
38105,15 - Kern,12/24/19,In Review,50397285,29,NA
38106,15 - Kern,12/24/19,Pending Construction,55626444,17,NA
38107,15 - Kern,12/24/19,In Construction,20002312,50,NA
38108,15 - Kern,12/24/19,In Closure,1598122,2,NA
38109,16 - Kings,12/24/19,In Review,0,0,NA
38110,16 - Kings,12/24/19,Pending Construction,130000,1,NA
38111,16 - Kings,12/24/19,In Construction,337810,4,NA
38112,16 - Kings,12/24/19,In Closure,0,0,NA
38113,17 - Lake,12/24/19,In Review,2379200,9,NA
38114,17 - Lake,12/24/19,Pending Construction,273000,2,NA
38115,17 - Lake,12/24/19,In Construction,6375010,11,NA
38116,17 - Lake,12/24/19,In Closure,30000,1,NA
38117,18 - Lassen,12/24/19,In Review,20000,1,NA
38118,18 - Lassen,12/24/19,Pending Construction,6822036,2,NA
38119,18 - Lassen,12/24/19,In Construction,3739177,8,NA
38120,18 - Lassen,12/24/19,In Closure,0,0,NA
38121,19 - Los Angeles,12/24/19,In Review,320222152.9,282,Greater Los Angeles Counties
38122,19 - Los Angeles,12/24/19,Pending Construction,234499543,408,Greater Los Angeles Counties
38123,19 - Los Angeles,12/24/19,In Construction,1233882514,1001,Greater Los Angeles Counties
38124,19 - Los Angeles,12/24/19,In Closure,86404922,130,Greater Los Angeles Counties
38125,20 - Madera,12/24/19,In Review,22352365,10,NA
38126,20 - Madera,12/24/19,Pending Construction,2348427,9,NA
38127,20 - Madera,12/24/19,In Construction,5193825,16,NA
38128,20 - Madera,12/24/19,In Closure,520272,5,NA
38129,21 - Marin,12/24/19,In Review,34291187,16,Bay Area Counties
38130,21 - Marin,12/24/19,Pending Construction,36048145.13,7,Bay Area Counties
38131,21 - Marin,12/24/19,In Construction,231530264.8,42,Bay Area Counties
38132,21 - Marin,12/24/19,In Closure,40577219.13,9,Bay Area Counties
38133,22 - Mariposa,12/24/19,In Review,0,0,NA
38134,22 - Mariposa,12/24/19,Pending Construction,15000,1,NA
38135,22 - Mariposa,12/24/19,In Construction,51500,3,NA
38136,22 - Mariposa,12/24/19,In Closure,0,0,NA
38137,23 - Mendocino,12/24/19,In Review,50000,1,NA
38138,23 - Mendocino,12/24/19,Pending Construction,345000,2,NA
38139,23 - Mendocino,12/24/19,In Construction,5961828,16,NA
38140,23 - Mendocino,12/24/19,In Closure,0,0,NA
38141,24 - Merced,12/24/19,In Review,894303,4,NA
38142,24 - Merced,12/24/19,Pending Construction,3284068,7,NA
38143,24 - Merced,12/24/19,In Construction,1872645,10,NA
38144,24 - Merced,12/24/19,In Closure,0,0,NA
38145,25 - Modoc,12/24/19,In Review,0,0,NA
38146,25 - Modoc,12/24/19,Pending Construction,0,0,NA
38147,25 - Modoc,12/24/19,In Construction,26707089,2,NA
38148,25 - Modoc,12/24/19,In Closure,0,0,NA
38149,26 - Mono,12/24/19,In Review,0,0,NA
38150,26 - Mono,12/24/19,Pending Construction,30554,2,NA
38151,26 - Mono,12/24/19,In Construction,0,0,NA
38152,26 - Mono,12/24/19,In Closure,618276,1,NA
38153,27 - Monterey,12/24/19,In Review,20443025,15,NA
38154,27 - Monterey,12/24/19,Pending Construction,7327530,23,NA
38155,27 - Monterey,12/24/19,In Construction,26400087,27,NA
38156,27 - Monterey,12/24/19,In Closure,544452,2,NA
38157,28 - Napa,12/24/19,In Review,8111066,7,Bay Area Counties
38158,28 - Napa,12/24/19,Pending Construction,12497695,9,Bay Area Counties
38159,28 - Napa,12/24/19,In Construction,6205022,20,Bay Area Counties
38160,28 - Napa,12/24/19,In Closure,356064,4,Bay Area Counties
38161,29 - Nevada,12/24/19,In Review,19000,2,NA
38162,29 - Nevada,12/24/19,Pending Construction,2015243,7,NA
38163,29 - Nevada,12/24/19,In Construction,28404608,17,NA
38164,29 - Nevada,12/24/19,In Closure,618655,3,NA
38165,30 - Orange,12/24/19,In Review,55986600,62,Greater Los Angeles Counties
38166,30 - Orange,12/24/19,Pending Construction,31904636,73,Greater Los Angeles Counties
38167,30 - Orange,12/24/19,In Construction,182271579,146,Greater Los Angeles Counties
38168,30 - Orange,12/24/19,In Closure,44372796,63,Greater Los Angeles Counties
38169,31 - Placer,12/24/19,In Review,20906000,11,Greater Sacramento Counties
38170,31 - Placer,12/24/19,Pending Construction,5473618,8,Greater Sacramento Counties
38171,31 - Placer,12/24/19,In Construction,83946220,32,Greater Sacramento Counties
38172,31 - Placer,12/24/19,In Closure,7867122,17,Greater Sacramento Counties
38173,32 - Plumas,12/24/19,In Review,0,0,NA
38174,32 - Plumas,12/24/19,Pending Construction,0,0,NA
38175,32 - Plumas,12/24/19,In Construction,328879,7,NA
38176,32 - Plumas,12/24/19,In Closure,0,0,NA
38177,33 - Riverside,12/24/19,In Review,304255981,62,NA
38178,33 - Riverside,12/24/19,Pending Construction,52409074,47,NA
38179,33 - Riverside,12/24/19,In Construction,337334797.7,136,NA
38180,33 - Riverside,12/24/19,In Closure,16111585,19,NA
38181,34 - Sacramento,12/24/19,In Review,611380135,56,Greater Sacramento Counties
38182,34 - Sacramento,12/24/19,Pending Construction,96848511,65,Greater Sacramento Counties
38183,34 - Sacramento,12/24/19,In Construction,310508987,150,Greater Sacramento Counties
38184,34 - Sacramento,12/24/19,In Closure,7974855,14,Greater Sacramento Counties
38185,35 - San Benito,12/24/19,In Review,520000,2,NA
38186,35 - San Benito,12/24/19,Pending Construction,75000,1,NA
38187,35 - San Benito,12/24/19,In Construction,0,0,NA
38188,35 - San Benito,12/24/19,In Closure,265499,2,NA
38189,36 - San Bernardino,12/24/19,In Review,70009892,52,NA
38190,36 - San Bernardino,12/24/19,Pending Construction,16708164.44,55,NA
38191,36 - San Bernardino,12/24/19,In Construction,816562197.5,155,NA
38192,36 - San Bernardino,12/24/19,In Closure,29092083,22,NA
38193,37 - San Diego,12/24/19,In Review,645042916.7,86,NA
38194,37 - San Diego,12/24/19,Pending Construction,34533648.4,107,NA
38195,37 - San Diego,12/24/19,In Construction,200223650.6,187,NA
38196,37 - San Diego,12/24/19,In Closure,49307703.11,64,NA
38197,38 - San Francisco,12/24/19,In Review,52423376,36,Bay Area Counties
38198,38 - San Francisco,12/24/19,Pending Construction,65078222,63,Bay Area Counties
38199,38 - San Francisco,12/24/19,In Construction,596943362,116,Bay Area Counties
38200,38 - San Francisco,12/24/19,In Closure,6147756,13,Bay Area Counties
38201,39 - San Joaquin,12/24/19,In Review,28065969,20,NA
38202,39 - San Joaquin,12/24/19,Pending Construction,6027335,14,NA
38203,39 - San Joaquin,12/24/19,In Construction,39835280,33,NA
38204,39 - San Joaquin,12/24/19,In Closure,28263273,13,NA
38205,40 - San Luis Obispo,12/24/19,In Review,1742151,3,NA
38206,40 - San Luis Obispo,12/24/19,Pending Construction,3453653,13,NA
38207,40 - San Luis Obispo,12/24/19,In Construction,24436567,22,NA
38208,40 - San Luis Obispo,12/24/19,In Closure,1618693,8,NA
38209,41 - San Mateo,12/24/19,In Review,13752830,15,Bay Area Counties
38210,41 - San Mateo,12/24/19,Pending Construction,27381468,25,Bay Area Counties
38211,41 - San Mateo,12/24/19,In Construction,52888942,72,Bay Area Counties
38212,41 - San Mateo,12/24/19,In Closure,14978351,11,Bay Area Counties
38213,42 - Santa Barbara,12/24/19,In Review,2822930,12,NA
38214,42 - Santa Barbara,12/24/19,Pending Construction,5354920,20,NA
38215,42 - Santa Barbara,12/24/19,In Construction,56689680,39,NA
38216,42 - Santa Barbara,12/24/19,In Closure,94539985.2,7,NA
38217,43 - Santa Clara,12/24/19,In Review,379459215,67,Bay Area Counties
38218,43 - Santa Clara,12/24/19,Pending Construction,84986139.86,75,Bay Area Counties
38219,43 - Santa Clara,12/24/19,In Construction,722098208.5,170,Bay Area Counties
38220,43 - Santa Clara,12/24/19,In Closure,27833166,45,Bay Area Counties
38221,44 - Santa Cruz,12/24/19,In Review,4087710,9,NA
38222,44 - Santa Cruz,12/24/19,Pending Construction,996754,8,NA
38223,44 - Santa Cruz,12/24/19,In Construction,23214581,23,NA
38224,44 - Santa Cruz,12/24/19,In Closure,1173737,3,NA
38225,45 - Shasta,12/24/19,In Review,1176243,6,NA
38226,45 - Shasta,12/24/19,Pending Construction,4671375,10,NA
38227,45 - Shasta,12/24/19,In Construction,19978678.17,20,NA
38228,45 - Shasta,12/24/19,In Closure,36362,1,NA
38229,46 - Sierra,12/24/19,In Review,0,0,NA
38230,46 - Sierra,12/24/19,Pending Construction,85500,1,NA
38231,46 - Sierra,12/24/19,In Construction,148000,1,NA
38232,46 - Sierra,12/24/19,In Closure,0,0,NA
38233,47 - Siskiyou,12/24/19,In Review,1234338,2,NA
38234,47 - Siskiyou,12/24/19,Pending Construction,1325256,6,NA
38235,47 - Siskiyou,12/24/19,In Construction,5764179,6,NA
38236,47 - Siskiyou,12/24/19,In Closure,24634,1,NA
38237,48 - Solano,12/24/19,In Review,3442168,11,Bay Area Counties
38238,48 - Solano,12/24/19,Pending Construction,5249134,20,Bay Area Counties
38239,48 - Solano,12/24/19,In Construction,21514823,41,Bay Area Counties
38240,48 - Solano,12/24/19,In Closure,82685210,17,Bay Area Counties
38241,49 - Sonoma,12/24/19,In Review,119407459.9,28,Bay Area Counties
38242,49 - Sonoma,12/24/19,Pending Construction,14616677.87,14,Bay Area Counties
